"Date","Price","Open","High","Low","Vol.","Change %"
"08/18/2023","681.49","681.76","682.19","679.99","0.56K","-1.08%"
"08/17/2023","688.94","686.00","689.95","685.88","0.53K","0.30%"
"08/16/2023","686.85","687.50","688.54","686.22","0.66K","-0.43%"
"08/15/2023","689.80","691.16","694.37","689.80","1.09K","0.38%"
"08/14/2023","687.22","687.16","688.58","687.16","0.42K","0.38%"
"08/11/2023","684.65","684.65","685.83","683.69","0.42K","0.07%"
"08/10/2023","684.16","684.21","685.18","683.81","0.77K","-0.22%"
"08/09/2023","685.70","687.07","687.71","685.00","0.17K","-0.32%"
"08/08/2023","687.90","686.98","687.90","685.88","1.51K","0.80%"
"08/07/2023","682.44","681.94","683.02","680.40","0.34K","-0.57%"
"08/04/2023","686.32","686.10","687.00","684.40","0.30K","-0.39%"
"08/03/2023","689.00","690.50","690.50","688.80","0.32K","-0.22%"
"08/02/2023","690.49","687.70","690.49","687.67","0.71K","0.50%"
"08/01/2023","687.04","682.90","688.00","681.34","0.40K","0.59%"
"07/31/2023","683.00","687.33","687.33","683.00","0.70K","0.24%"
"07/28/2023","681.34","675.00","682.31","675.00","1.27K","1.33%"
"07/27/2023","672.41","674.05","674.44","670.40","0.25K","-0.13%"
"07/26/2023","673.30","671.49","675.44","671.03","1.20K","0.27%"
"07/25/2023","671.50","674.79","675.23","671.00","0.43K","0.02%"
"07/24/2023","671.37","671.81","672.49","671.14","0.27K","0.38%"
"07/21/2023","668.86","667.76","669.30","667.60","0.73K","0.35%"
"07/20/2023","666.50","679.01","679.01","665.00","0.73K","-0.37%"
"07/19/2023","668.96","665.52","669.99","665.52","0.83K","1.22%"
"07/18/2023","660.87","661.25","661.58","659.51","0.42K","0.36%"
"07/17/2023","658.49","655.79","659.33","655.79","0.53K","0.85%"
"07/14/2023","652.93","652.50","653.06","652.00","0.69K","-0.46%"
"07/13/2023","655.95","658.41","658.48","655.84","0.36K","-0.44%"
"07/12/2023","658.88","660.85","661.31","657.00","0.22K","-0.01%"
"07/11/2023","658.97","657.98","659.18","657.17","0.44K","0.48%"
"07/10/2023","655.83","656.33","657.13","655.00","0.63K","-0.91%"
"07/07/2023","661.87","663.00","664.10","661.87","0.28K","-0.19%"
"07/06/2023","663.11","665.00","666.08","663.11","0.61K","-0.01%"
"07/05/2023","663.16","663.16","664.37","662.65","0.53K","-0.56%"
"07/04/2023","666.87","664.65","667.88","663.88","1.05K","0.36%"
"07/03/2023","664.50","665.82","667.96","664.02","0.87K","0.37%"
"06/30/2023","662.05","662.61","663.50","661.17","0.19K","0.34%"
"06/29/2023","659.80","661.60","663.01","659.80","1.31K","0.58%"
"06/28/2023","656.00","651.58","656.70","651.58","0.93K","1.74%"
"06/27/2023","644.76","647.93","647.93","643.46","0.16K","-0.74%"
"06/26/2023","649.59","649.17","650.32","649.06","0.69K","0.11%"
"06/23/2023","648.88","645.73","649.25","645.12","1.23K","1.08%"
"06/22/2023","641.93","640.28","642.50","638.97","0.60K","-0.40%"
"06/21/2023","644.52","645.35","645.35","643.75","0.24K","-0.03%"
"06/20/2023","644.72","640.16","645.00","639.95","0.38K","0.71%"
"06/19/2023","640.16","642.00","642.36","639.00","0.23K","-0.30%"
"06/16/2023","642.08","641.96","643.58","640.50","1.21K","0.25%"
"06/15/2023","640.50","644.48","645.27","640.50","0.61K","-0.79%"
"06/14/2023","645.63","645.99","645.99","644.10","0.33K","0.37%"
"06/13/2023","643.26","642.07","644.26","642.07","0.36K","0.47%"
"06/09/2023","640.28","639.87","640.40","638.50","0.14K","0.19%"
"06/08/2023","639.08","642.00","642.00","639.07","0.33K","-0.28%"
"06/07/2023","640.90","641.16","642.30","640.90","0.40K","0.04%"
"06/06/2023","640.65","645.56","645.91","640.00","0.79K","-1.07%"
"06/05/2023","647.58","647.02","648.38","646.80","0.64K","1.27%"
"06/02/2023","639.43","641.84","642.59","638.60","0.61K","-0.55%"
"06/01/2023","642.97","644.13","645.14","641.78","0.17K","-0.38%"
"05/31/2023","645.40","645.17","646.06","644.50","0.38K","-0.16%"
"05/30/2023","646.45","643.78","647.22","642.63","0.35K","0.41%"
"05/29/2023","643.78","646.12","646.64","643.50","0.54K","1.38%"
"05/26/2023","635.00","636.83","637.55","635.00","0.38K","0.40%"
"05/25/2023","632.50","630.57","632.60","630.57","0.12K","0.59%"
"05/24/2023","628.82","627.33","629.67","627.29","0.25K","-0.26%"
"05/23/2023","630.45","631.40","632.00","630.10","0.40K","0.11%"
"05/22/2023","629.73","629.11","629.79","627.50","0.49K","-0.53%"
"05/19/2023","633.10","633.51","634.56","633.02","0.97K","1.36%"
"05/18/2023","624.59","623.08","625.00","623.08","5.10K","0.98%"
"05/17/2023","618.50","618.00","618.50","617.00","0.36K","0.24%"
"05/16/2023","617.00","616.02","617.00","614.89","0.25K","-0.06%"
"05/15/2023","617.39","618.29","619.53","617.22","0.12K","0.18%"
"05/12/2023","616.29","615.43","617.20","615.43","0.36K","0.84%"
"05/11/2023","611.15","610.00","611.42","609.00","0.45K","0.57%"
"05/10/2023","607.68","608.02","608.41","607.56","0.32K","-0.09%"
"05/09/2023","608.21","608.53","608.98","608.14","0.04K","-0.09%"
"05/08/2023","608.73","610.24","611.94","608.66","0.20K","0.86%"
"05/05/2023","603.52","611.59","611.59","603.15","0.19K","-1.22%"
"05/04/2023","610.95","612.73","629.99","610.75","0.28K","-1.05%"
"05/03/2023","617.44","616.45","617.54","616.20","0.26K","-0.25%"
"05/02/2023","619.01","627.48","627.48","619.01","1.45K","-1.27%"
"05/01/2023","626.95","628.05","629.00","626.95","0.44K","0.66%"
"04/28/2023","622.87","620.92","622.87","620.60","0.23K","1.52%"
"04/27/2023","613.54","614.24","614.24","613.50","0.66K","-0.67%"
"04/26/2023","617.70","615.01","617.70","614.60","0.79K","0.48%"
"04/24/2023","614.72","615.18","616.19","614.61","0.30K","0.17%"
"04/21/2023","613.70","610.86","613.80","610.56","0.44K","-0.54%"
"04/20/2023","617.05","615.93","617.19","615.93","0.10K","0.41%"
"04/19/2023","614.53","614.27","615.97","614.27","0.20K","-0.08%"
"04/18/2023","615.00","617.68","617.87","615.00","0.25K","-0.20%"
"04/17/2023","616.26","616.39","617.49","615.90","0.26K","1.16%"
"04/14/2023","609.19","610.08","610.16","608.97","0.08K","-0.01%"
"04/13/2023","609.24","608.42","610.25","607.87","0.14K","-0.76%"
"04/12/2023","613.92","615.80","616.57","613.92","0.16K","-0.12%"
"04/11/2023","614.68","608.51","617.01","608.51","0.83K","1.23%"
"04/06/2023","607.22","606.55","607.86","605.61","0.31K","0.11%"
"04/05/2023","606.55","606.49","606.55","604.00","0.40K","-0.07%"
"04/04/2023","607.00","605.29","607.00","604.44","1.02K","-0.86%"
"04/03/2023","612.26","613.67","614.03","611.40","0.88K","1.62%"
"03/31/2023","602.51","601.34","604.00","601.00","0.11K","0.30%"
"03/30/2023","600.71","599.99","602.09","599.99","0.11K","1.23%"
"03/29/2023","593.43","591.71","593.55","591.00","0.13K","0.92%"
"03/28/2023","588.00","596.92","596.92","588.00","1.73K","-1.62%"
"03/27/2023","597.68","597.91","610.00","597.39","2.22K","1.49%"
"03/24/2023","588.89","589.32","590.18","588.81","0.06K","0.54%"
"03/23/2023","585.73","587.22","587.22","585.70","0.21K","-1.80%"
"03/22/2023","596.48","597.69","598.16","596.13","0.31K","1.27%"
"03/21/2023","589.00","585.90","589.16","585.90","0.15K","0.93%"
"03/20/2023","583.60","584.71","585.05","583.50","0.27K","-0.81%"
"03/17/2023","588.34","592.38","593.03","588.16","1.32K","-0.23%"
"03/16/2023","589.70","588.80","590.78","588.00","0.39K","0.57%"
"03/15/2023","586.36","584.92","586.55","584.92","0.48K","0.55%"
"03/14/2023","583.13","580.45","583.66","579.71","0.53K","-0.95%"
"03/13/2023","588.72","586.96","590.97","586.26","8.04K","-0.06%"
"03/10/2023","589.10","594.85","594.94","588.95","0.35K","-2.44%"
"03/09/2023","603.86","605.25","605.55","603.86","0.17K","-0.09%"
"03/08/2023","604.41","604.30","605.83","604.30","0.67K","0.01%"
"03/07/2023","604.37","600.62","605.00","600.47","0.50K","0.95%"
"03/06/2023","598.69","597.63","599.32","597.00","0.41K","1.63%"
"03/03/2023","589.06","590.13","590.80","588.48","0.14K","0.92%"
"03/02/2023","583.67","585.17","585.17","582.88","0.41K","-0.72%"
"03/01/2023","587.92","588.68","589.00","587.06","1.19K","-0.72%"
"02/28/2023","592.19","592.00","592.19","590.26","0.23K","0.05%"
"02/27/2023","591.91","588.73","591.91","588.73","0.34K","0.68%"
"02/24/2023","587.91","588.66","588.70","586.96","0.11K","0.33%"
"02/23/2023","585.99","588.24","588.24","585.70","0.04K","0.07%"
"02/22/2023","585.60","582.49","585.60","581.56","0.63K","-0.41%"
"02/21/2023","588.03","587.95","588.03","587.11","0.53K","-0.39%"
"02/20/2023","590.35","592.51","592.51","590.22","0.11K","-0.67%"
"02/17/2023","594.36","594.17","594.78","592.92","0.14K","-0.86%"
"02/16/2023","599.52","599.13","600.11","599.13","0.55K","1.11%"
"02/15/2023","592.92","590.88","592.92","589.75","0.20K","0.13%"
"02/14/2023","592.17","592.92","593.03","591.90","0.07K","0.60%"
"02/13/2023","588.61","590.68","590.68","588.61","0.03K","0.17%"
"02/10/2023","587.63","588.61","588.61","585.93","0.85K","-0.79%"
"02/09/2023","592.29","594.39","594.39","591.89","0.12K","-0.73%"
"02/08/2023","596.62","595.82","596.70","594.97","0.36K","0.75%"
"02/07/2023","592.20","595.48","596.65","591.50","6.21K","0.12%"
"02/06/2023","591.50","594.56","595.98","591.50","0.23K","0.76%"
"02/03/2023","587.03","585.54","587.90","585.54","0.27K","1.81%"
"02/02/2023","576.58","577.05","578.00","575.89","0.40K","0.48%"
"02/01/2023","573.80","575.23","575.88","573.80","0.18K","0.76%"
"01/31/2023","569.50","568.36","570.00","568.36","0.07K","-0.19%"
"01/30/2023","570.60","570.48","571.24","568.60","0.42K","0.44%"
"01/27/2023","568.10","568.12","568.15","566.50","0.24K","1.11%"
"01/25/2023","561.86","569.00","569.10","561.47","0.65K","-1.43%"
"01/24/2023","570.00","570.70","570.70","568.61","0.31K","0.57%"
"01/23/2023","566.78","567.53","567.79","565.93","0.26K","0.61%"
"01/20/2023","563.36","564.23","564.23","562.00","0.33K","-0.44%"
"01/19/2023","565.87","564.48","566.91","563.33","0.14K","-0.57%"
"01/18/2023","569.14","569.29","570.69","567.75","0.13K","-0.25%"
"01/17/2023","570.56","571.12","572.50","569.67","0.07K","0.09%"
"01/16/2023","570.06","572.01","572.27","569.05","0.39K","-0.01%"
"01/13/2023","570.11","570.77","570.77","569.92","0.20K","-0.42%"
"01/12/2023","572.50","572.68","573.07","572.00","0.20K","1.15%"
"01/11/2023","566.00","565.80","567.74","565.79","0.14K","1.00%"
"01/10/2023","560.42","561.63","561.84","559.50","0.15K","-0.30%"
"01/09/2023","562.09","564.20","565.00","561.21","0.22K","-0.28%"
"01/06/2023","563.67","563.03","563.75","561.67","0.70K","0.09%"
"01/05/2023","563.14","561.83","563.14","561.00","0.13K","0.47%"
"01/04/2023","560.50","564.95","567.00","560.50","0.09K","-0.15%"
"01/03/2023","561.35","567.02","567.02","561.26","0.17K","-0.65%"
