fecha,bid,ask
2023-01-02, $ 342.00 , $ 346.00
2023-01-03, $ 350.00 , $ 354.00
2023-01-04, $ 350.00 , $ 354.00
2023-01-05, $ 348.00 , $ 353.00
2023-01-06, $ 350.00 , $ 354.00
2023-01-09, $ 351.00 , $ 355.00
2023-01-10, $ 353.00 , $ 357.00
2023-01-11, $ 355.00 , $ 359.00
2023-01-12, $ 357.00 , $ 361.00
2023-01-13, $ 365.00 , $ 369.00
2023-01-16, $ 366.00 , $ 370.00
2023-01-17, $ 374.00 , $ 378.00
2023-01-18, $ 373.00 , $ 377.00
2023-01-19, $ 370.00 , $ 374.00
2023-01-20, $ 372.00 , $ 376.00
2023-01-23, $ 372.00 , $ 376.00
2023-01-24, $ 377.00 , $ 381.00
2023-01-25, $ 379.00 , $ 383.00
2023-01-26, $ 381.00 , $ 385.00
2023-01-27, $ 382.00 , $ 386.00
2023-01-30, $ 379.00 , $ 383.00
2023-01-31, $ 377.00 , $ 381.00
2023-02-01, $ 373.00 , $ 377.00
2023-02-02, $ 374.00 , $ 378.00
2023-02-03, $ 375.00 , $ 379.00
2023-02-06, $ 369.00 , $ 373.00
2023-02-07, $ 373.00 , $ 377.00
2023-02-08, $ 376.00 , $ 381.00
2023-02-09, $ 375.00 , $ 379.00
2023-02-10, $ 373.00 , $ 377.00
2023-02-13, $ 375.00 , $ 379.00
2023-02-14, $ 375.00 , $ 379.00
2023-02-15, $ 374.00 , $ 378.00
2023-02-16, $ 373.00 , $ 377.00
2023-02-17, $ 373.00 , $ 377.00
2023-02-20, $ 373.00 , $ 377.00
2023-02-21, $ 373.00 , $ 377.00
2023-02-22, $ 373.00 , $ 377.00
2023-02-23, $ 375.00 , $ 379.00
2023-02-24, $ 375.00 , $ 379.00
2023-02-27, $ 373.00 , $ 377.00
2023-02-28, $ 371.00 , $ 375.00
2023-03-01, $ 371.00 , $ 375.00
2023-03-02, $ 373.00 , $ 377.00
2023-03-03, $ 371.00 , $ 375.00
2023-03-06, $ 368.00 , $ 372.00
2023-03-07, $ 367.00 , $ 371.00
2023-03-08, $ 373.00 , $ 378.00
2023-03-09, $ 369.00 , $ 373.00
2023-03-10, $ 369.00 , $ 373.00
2023-03-13, $ 373.00 , $ 377.00
2023-03-14, $ 373.00 , $ 377.00
2023-03-15, $ 375.00 , $ 379.00
2023-03-16, $ 379.00 , $ 383.00
2023-03-17, $ 379.00 , $ 383.00
2023-03-20, $ 382.00 , $ 386.00
2023-03-21, $ 390.00 , $ 394.00
