id,symbol,name,current_price,market_cap,fully_diluted_valuation,total_volume,circulating_supply,total_supply,max_supply,ath,atl,roi
bitcoin,btc,Bitcoin,25923.0,504528993002,544242162160,12431227675,19467637.0,21000000.0,21000000.0,69045.0,67.81,
ethereum,eth,Ethereum,1642.97,197481800222,197481800222,5475262581,120216444.295051,120216444.295051,,4878.26,0.432979,"{'times': 83.75482160556946, 'currency': 'btc', 'percentage': 8375.482160556945}"
tether,usdt,Tether,0.999524,82859851267,82859851267,14988260317,82849133565.976,82849133565.976,,1.32,0.572521,
binancecoin,bnb,BNB,217.0,33383766725,43396077082,398586235,153856150.0,153856150.0,200000000.0,686.31,0.0398177,
ripple,xrp,XRP,0.514968,27285263842,51565113273,879865211,52914193551.0,99988485729.0,100000000000.0,3.4,0.00268621,
usd-coin,usdc,USD Coin,0.99987,25869720448,25869271725,4391606515,25864959151.4038,25864510511.065,,1.17,0.877647,
staked-ether,steth,Lido Staked Ether,1642.44,13749838176,13753568207,7983346,8375059.91687253,8377331.88779935,8377331.88779935,4829.57,482.9,
cardano,ada,Cardano,0.259681,9101117184,11686404048,209758563,35045020830.3234,45000000000.0,45000000000.0,3.09,0.01925275,
dogecoin,doge,Dogecoin,0.062213,8752999331,8752988758,240493562,140736626383.705,140736456383.705,,0.731578,8.69e-05,
solana,sol,Solana,20.31,8294287488,11301150187,292824151,407933683.630365,555818668.137339,,259.96,0.500801,
