id,symbol,name,current_price,market_cap,fully_diluted_valuation,total_volume,circulating_supply,total_supply,max_supply,ath,atl,roi
bitcoin,btc,Bitcoin,26038.0,506742929647,546627725778,10015143323,19467731.0,21000000.0,21000000.0,69045.0,67.81,
ethereum,eth,Ethereum,1649.79,198258200694,198258200694,5093826719,120216444.295051,120216444.295051,,4878.26,0.432979,"{'times': 83.708339226894, 'currency': 'btc', 'percentage': 8370.8339226894}"
tether,usdt,Tether,0.999659,82808059559,82808059559,16932770127,82849133565.976,82849133565.976,,1.32,0.572521,
binancecoin,bnb,BNB,217.74,33496117638,43542123780,387094311,153856150.0,153856150.0,200000000.0,686.31,0.0398177,
ripple,xrp,XRP,0.523861,27719873519,52386461285,919719947,52914193551.0,99988485729.0,100000000000.0,3.4,0.00268621,
usd-coin,usdc,USD Coin,1.0,25877576242,25875460929,3948200975,25881734265.5444,25879618612.165,,1.17,0.877647,
staked-ether,steth,Lido Staked Ether,1649.29,13817155415,13817155415,19915613,8378256.43495917,8378256.43495917,8378256.43495917,4829.57,482.9,
cardano,ada,Cardano,0.259662,9098968761,11683645339,218964211,35045020830.3234,45000000000.0,45000000000.0,3.09,0.01925275,
dogecoin,doge,Dogecoin,0.062776,8830250628,8830238079,225635765,140738936383.705,140738736383.705,,0.731578,8.69e-05,
solana,sol,Solana,20.29,8272072447,11271992670,269219077,407893352.76324,555818497.995597,,259.96,0.500801,
